16G4,16,DDR4,2133,16 GB DDR4 2133MHz
8G4,8,DDR4,2133,8 GB DDR4 2133MHz
4G4,4,DDR4,2133,4 GB DDR4 2133MHz
4G3,4,DDR3L,1600,4 GB DDR3L 1600MHz
