ASUS,N580VD,ASUS VivoBook 15 Pro
ASUS,GL553VD,ASUS ROG STRIX GL553VD
ASUS,E203NAH,ASUS VivoBook E12
ASUS,X505BP,ASUS VivoBook 15
ASUS,GL503GE,ASUS ROG Strix GL503
ASUS,X441NA,ASUS VivoBook Max
ASUS,X407MA,ASUS VivoBook 14
ASUS,X540YA,ASUS VivoBook 15
ASUS,TP203NAH,ASUS VivoBook Flip 12
ASUS,TP410UA,ASUS VivoBook Flip 14
ASUS,UX490UA,ASUS ZenBook 3 Deluxe
ASUS,X507LA,
ASUS,X507UA,
ASUS,X407UA,
ASUS,X540LA,
ASUS,X441UA,
ASUS,X442UA,
ASUS,X542UA,
ASUS,X411UA,
ASUS,X510UA,
ASUS,X540UB,
ASUS,X542UR,
ASUS,S410UA,
ASUS,S510UA,
ASUS,UX310UA,
ASUS,UX410UA,
ASUS,X540UP,
ASUS,X507UB,
ASUS,X520UF,
ASUS,X510UF,
ASUS,X542UN,
ASUS,S510UQ,
ASUS,S410UN,
ASUS,P2440UA,
ASUS,P2440UQ,
ASUS,P2540UV,
ASUS,UX430UA,
ASUS,UX360UAK,
ASUS,UX310UQ,
ASUS,UX410UQ,
ASUS,UX430UQ,
ASUS,X542UQ,
ASUS,S510UN,
ASUS,UX370UA,
ASUS,UX390UA,
ASUS,UX550VE,
ASUS,FX504GD,
ASUS,FX553VD,
ASUS,FX504GM,
ASUS,GL503VM,
ASUS,GL702VM,
ASUS,GL502VS,
ASUS,G752VS(KBL),
ASUS,GX501VI,
ASUS,G701VIK,
ASUS,GX800VH,
