82,ASUS,UX430UA,7200U,8G4,Shared,512G,0,68500
83,ASUS,UX360UAK,7200U,8G4,Shared,0,0,76000
84,ASUS,UX360UAK,7200U,8G4,Shared,0,0,76000
85,ASUS,UX310UQ,7200U,8G4,dGT9402D3,512G,0,78000
86,ASUS,UX410UQ,7200U,8G4,dGT9402D3,512G,0,79000
87,ASUS,UX410UQ,7200U,8G4,dGT9402D3,512G,0,79000
88,ASUS,UX430UQ,7200U,8G4,dGT9402D3,512G,0,82000
89,ASUS,X542UQ,7500U,8G4,dGT9402D3,0,1T,61000
90,ASUS,X542UN,8550U,8G4,dMX1504G5,128G,1T,74000
91,ASUS,S510UN,8550U,8G4,dMX1502G5,128G,1T,76000
92,ASUS,S510UN,8550U,8G4,dMX1502G5,128G,1T,76000
93,ASUS,S410UN,8550U,8G4,dMX1504G5,128G,1T,79500
94,ASUS,P2440UQ,7500U,8G4,dGT9402D3,0,1T,64000
95,ASUS,P2540UV,7500U,8G4,dGT9402D3,0,1T,64000
96,ASUS,UX430UA,7500U,8G4,Shared,512G,0,80000
97,ASUS,UX430UA,7500U,8G4,Shared,512G,0,82000
98,ASUS,UX430UQ,7500U,8G4,dGT9402D3,512G,0,84000
99,ASUS,UX430UQ,7500U,8G4,dGT9402D3,512G,0,89000
100,ASUS,UX370UA,8550U,16G4,Shared,512G,0,148000
101,ASUS,UX360UAK,7500U,16G4,Shared,512G,0,98000
102,ASUS,UX390UA,7500U,16G4,Shared,512G,0,134000
103,ASUS,UX390UA,7500U,16G4,Shared,512G,0,134000
104,ASUS,UX550VE,7700HQ,16G4,dGTX1050T4G5,0,1T,176000
105,ASUS,UX490UA,7500U,16G4,Shared,512G,0,150000
106,ASUS,UX490UA,7500U,16G4,Shared,0,1T,168000
107,ASUS,UX310UQ,7500U,8G4,dGT9402D3,512G,512G,88000
108,ASUS,N580VD,7300HQ,8G4,dGTX10504G5,0,1T,69800
109,ASUS,N580VD,7300HQ,8G4,dGTX10504G5,0,1T,69800
110,ASUS,N580VD,7700HQ,8G4,dGTX10504G5,0,1T,79000
111,ASUS,N580VD,7700HQ,16G4,dGTX10504G5,256G,2T,111000
112,ASUS,N580VD,7700HQ,8G4,dGTX10504G5,128G,1T,86000
113,ASUS,FX504GD,8300H,8G4,dGTX10504G5,8G,1T,79000
114,ASUS,GL503GE,8300H,8G4,dGTX1050T4G5,256G,1T+8G,100000
115,ASUS,FX553VD,7300HQ,8G4,dGTX10504G5,0,1T,77000
116,ASUS,FX553VD,7700HQ,8G4,dGTX10504G5,0,2T,88800
117,ASUS,FX504GM,8300H,8G4,dGTX10606G5,256G,1T+8G,102500
118,ASUS,GL503GE,8750H,16G4,dGTX1050T4G5,256G,1T+8G,127000
119,ASUS,GL503VM,7700HQ,16G4,dGTX10606G5,256G,2T,150000
120,ASUS,GL702VM,7700HQ,16G4,dGTX10606G5,256G,1T,150000
121,ASUS,GL702VM,7700HQ,16G4,dGTX10606G5,256G,1T,160000
122,ASUS,GL502VS,7700HQ,32G4,dGTX10708G5,512G,1T,180000
123,ASUS,G752VS(KBL),7700HQ,32G4,dGTX10708G5,512G,2T,220000
124,ASUS,GX501VI,7700HQ,24G4,dGTX10808G5,1T,0,300000
125,ASUS,G701VIK,7820HQ,64G4,dGTX10808G5,1T,0,375000
126,ASUS,GX800VH,7820HQ,64G4,dGTX106016G5,1.5T,0,615000
